0,3,2,1,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000
3,0,2,1000000000000,1,1000000000000,4,1000000000000,1000000000000,1000000000000
2,2,0,2,3,1,1000000000000,1000000000000,1000000000000,1000000000000
1,1000000000000,2,0,1000000000000,5,1000000000000,1000000000000,1,1000000000000
1000000000000,1,3,1000000000000,0,1,2,2,1000000000000,1000000000000
1000000000000,1000000000000,1,5,1,0,1000000000000,2,5,1000000000000
1000000000000,4,1000000000000,1000000000000,2,1000000000000,0,2,1000000000000,4
1000000000000,1000000000000,1000000000000,1000000000000,2,2,2,0,2,3
1000000000000,1000000000000,1000000000000,1,1000000000000,5,1000000000000,2,0,5
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,4,3,5,0
